,date,Tv,Tamb,HR,qc,Tc_in,Ce_cc,Ce,Tcond,Tdc_in,Twct_in,Tc_out,Cw,mv,Tdc_out,Twct_out,wdc,wwct,qdc,qwct,Rp,Rs,Tcc_out
0,19-Feb-2025,36.2610087293889,17.67171057226,43.180898157129,23.9984930164888,28.121629485936,0.450380626397266,3.65391082585239,35.8050436469448,33.494083414161,33.1721629485936,33.4001939864208,95.3556128031037,224.076934441763,28.0478176527643,27.7784675072745,31.974352085354,22.4700017458778,12.4177198836082,12.2596740058196,0.483,0.054,28.121629485936
1,10-Feb-2025,37.774712643678,13.5318425787106,61.4372624687656,24.000376111944,27.7004497751124,0.432014027795687,3.44262983129625,37.0521739130436,34.1121939030486,34.1399300349827,34.0130934532735,108.219547226387,276.536959126376,27.4308845577211,27.5715142428787,30.6375225887057,23.7708230884558,12.0050011494253,11.7790234382809,0.5,0.0,27.7004497751124
2,12-Feb-2025,36.2413724183877,19.685473017988,23.7397782811459,23.9993153897402,28.1453697534978,0.381510940845068,4.62576182971774,35.7059960026648,21.9770819453699,33.433644237175,33.2512325116592,214.507033710859,217.364415451024,,27.9615589606927,0.0,39.7573676882078,0.23567549041972,23.6949712858095,0.99,0.0,28.1453697534978
3,19-Feb-2025,37.5750235183442,19.4735995296331,38.7115282690498,23.9982484007526,27.7387582314206,0.667380065978239,4.86110207677981,36.2845719661334,31.9711665098777,34.3668861712134,34.206161806209,239.035324741298,263.510628603335,,27.5845719661337,0.0,50.8496222953907,0.390682826841486,23.6915060677328,0.984,0.201,27.7387582314206
4,08-Jul-2025,37.3895920066611,27.2137520399667,50.1499141548709,23.9998797668609,28.1151540383014,7.10788024331264,10.1702395799068,36.9568692756037,34.3841798501249,34.4307243963364,34.4428809325562,156.759557035804,258.600484001078,30.1364696086594,24.9249791840133,100.0,66.4399994171522,13.9987132389675,9.77321958368026,0.417,0.0,28.1151540383014
5,08-Jul-2025,38.5762452107279,28.3956897828864,42.8278412515964,24.0016034482759,28.3414431673052,7.8632371640114,10.9326700056609,38.0644316730523,35.2427841634739,35.2761813537676,35.3015325670498,221.497919846743,270.261572979005,31.1532567049808,24.0045977011494,100.0,81.7096043422733,14.0006877394636,9.77001635376755,0.417,0.0,28.3414431673052
6,09-Jul-2025,42.3995884773662,27.2751998236332,62.124991005291,24.0000487948266,35.1965314520873,0.383408431957542,4.8094724699439,42.2015873015876,25.526866549089,40.2754262198705,40.276425631981,198.15304303351,200.822004346166,,35.0065255731923,0.0,39.8466994121105,0.119232195455614,23.6941924750147,0.995,0.0,35.1965314520873
7,09-Jul-2025,39.4533215755438,31.5009347442681,41.542743797766,23.9993346854791,28.7925338036448,8.16379057256836,11.8427597361994,38.9048206937096,35.7424456202232,35.7701940035271,35.7863609641385,263.309141446208,280.806774458608,30.7817166372722,27.9960023515578,100.0,86.9010590241035,5.69593189300412,18.0240221634333,0.763,0.0,28.7925338036448
8,13-Jan-2025,44.3602708803611,12.1648531763947,48.7142822960335,24.0022209287326,37.2289584005162,0.271859,3.8933801939504,43.8489841986453,42.0618510158016,21.9251854240569,41.9747500806193,0.0,214.037280746988,36.9737826507579,,30.0,0.0,23.7983129958078,0.000539735467591,0.008,0.0,37.2289584005162
9,02-Dec-2024,43.3244585138288,20.9233329223592,42.056076841053,17.9985515828058,30.4980673108965,1.94723873182236,3.26142967184417,42.8714095301568,40.0869376874378,40.1063312229258,39.9896034655118,95.0307064978341,303.464303911118,30.4785071642785,29.9736421192936,59.5066639786738,24.6752370543154,11.7788975674775,6.03689183938687,0.346,0.0,30.4980673108965
10,10-Jan-2025,43.0823670531784,20.5224580567773,22.6894544582167,23.6539352259096,35.0361055577769,0.170597331329221,5.01770733132922,42.4564574170332,40.1962015193921,39.0725309876051,40.1031987205121,148.312381127549,219.734941770145,38.8611755297882,34.8831667333067,11.0,22.4186342662934,23.4366850059976,23.3362507796882,0.009,0.986,35.0361055577769
11,02-Dec-2024,42.86982011992,20.4866866755496,52.0559261159227,17.9991543637575,29.8986009327113,0.595016466262228,2.01512058487096,42.3219187208526,39.6237841439042,39.6536975349768,39.5083277814792,162.426334576949,310.063340308731,29.18254497002,30.0970019986676,34.7015310459693,30.1141615589607,6.65028636242505,11.1496549633578,0.631,0.0,29.8986009327113
12,26-Jun-2025,42.5005649717509,34.5810110386789,14.2310380269448,23.9998264667536,34.9244676227725,6.08122,9.66967867768462,42.2981747066496,40.1875706214692,38.8526727509777,40.2650586701436,151.106503520209,211.182200105908,37.5135158626684,32.1489787049111,100.0,30.0,17.9991847023033,12.0012701434159,0.25,0.333,34.9244676227725
13,06-Jun-2025,39.8546054031053,30.7,22.61,23.496164007658,30.1985747713253,4.24721723793421,8.90721501191623,39.4772814294836,36.8542863220593,34.355690278664,36.7424377791959,160.707342722272,265.176333869338,34.1212507977027,29.4344394809618,78.7361039778771,43.0689554137417,23.250030780685,20.8686569878749,0.01,0.887,30.1985747713253
14,09-Jul-2025,42.3995884773662,27.2751998236332,62.124991005291,24.0000487948266,35.1965314520873,0.383408431957542,4.8094724699439,42.2015873015876,25.526866549089,40.2754262198705,40.276425631981,198.15304303351,200.822004346166,,35.0065255731923,0.0,39.8466994121105,0.119232195455614,23.6941924750147,0.995,0.0,35.1965314520873
15,27-May-2025,45.425107112254,29.2404223650386,17.7138412739217,23.2427009997144,36.2170522707801,0.335793193469238,5.18290319346924,44.9576406740935,42.7621536703801,41.1816052556416,42.6523850328477,194.34940445587,245.83517905021,40.9415881176805,36.0523279063121,20.0033860039988,28.6484808054842,23.0447225649814,22.908836075407,0.009,0.986,36.2170522707801
16,12-Feb-2025,36.7345091122872,15.5932472663139,49.3349725455614,24.0003956496179,28.1039388594946,0.463182783695774,4.70531395631576,36.22304526749,16.9415049970606,33.9297472075247,33.7561434450326,205.118796472663,240.173450346453,,27.9190476190474,0.0,43.3573639623751,0.283768633024691,23.6951127572016,0.988,0.0,28.1039388594946
17,17-Feb-2025,37.4899775056238,20.2185105723569,25.3482664333916,23.4859276930767,27.6120219945018,0.485480202350758,5.33259020235076,36.9546113471635,34.2592601849533,32.542264433891,34.1633091727071,180.475254586354,268.731484928019,32.3125468632844,27.4633841539613,21.0,37.5345351412142,23.281791952012,23.1589492126968,0.009,0.986,27.6120219945018
18,17-Feb-2025,37.4899775056238,20.2185105723569,25.3482664333916,23.4859276930767,27.6120219945018,0.485480202350758,5.33259020235076,36.9546113471635,34.2592601849533,32.542264433891,34.1633091727071,180.475254586354,268.731484928019,32.3125468632844,27.4633841539613,21.0,37.5345351412142,23.281791952012,23.1589492126968,0.009,0.986,27.6120219945018
19,19-Feb-2025,37.5859182349126,21.026417715769,33.6453554185594,24.0029304347826,28.1285528877354,0.544790157399453,5.07156644322571,37.0933160285531,34.4279039584683,32.5907203114862,34.3243997404281,166.437130045425,262.587107229644,31.2837118754055,27.957560025957,25.0,38.2605527579494,15.2942641791045,23.6721900064893,0.363,0.978,28.1285528877354
20,01-Jul-2025,54.6482069370958,36.6771415049971,14.3165049970606,24.0006883597884,44.3281011169897,0.161654084125842,4.72752708180492,53.4231628453851,50.0837742504409,49.3432686654909,50.1670781893004,211.329191181658,239.540016502322,,42.5937095825985,11.0031205173427,21.0,23.7892440917108,18.2070068195179,0.009,0.756,44.3281011169897
21,03-Jul-2025,56.6084957521242,33.8426835082458,31.5521027486257,24.0000544727636,48.1052973513247,0.342105053169346,3.64672320812996,56.4317341329337,54.2631184407791,54.1858070964516,54.3365817091452,138.377448275862,274.686934396633,,40.6434782608697,26.4421291354323,21.0,18.0001563718141,5.92746977011495,0.25,0.0,48.1052973513247
22,27-Jun-2025,54.6740123750598,32.536466920514,21.3975230366492,23.9992743455497,45.5640171346981,0.128667053511185,4.52739938455685,54.0019990480727,42.9556877677298,51.3670157068063,51.374678724417,233.661855592575,229.925264742294,,45.3974773917181,0.0,21.0005652546406,0.0005439979581151,23.7189574012375,1.0,0.0,45.5640171346981
23,11-Jul-2025,54.3625514403289,27.9372770135215,31.4457555555556,23.9999512051734,44.1141681363905,0.1616034829,3.79180423907855,54.0533803644917,51.3113462669015,51.3518518518516,51.3639623750734,237.834542857143,298.85148608979,,43.0526161081718,11.0,21.0,6.00063469723692,17.7472268665491,0.75,0.0,44.1141681363905
