Tamb,HR,Tin,q,w_fan,Tout,m_w_lost
22.8,25.4,37.65,12.01,21,31.09,122.1
23.5,21.6,37.58,17.7621592489723,21,33.002321964226,126.1
24.3,19.1,39.02,11.97,21.00,31.93,134.8
27.4,17.6,38.95,17.8537448310337,23.5965806838632,33.6808438312337,165.2
17.7,39.9,37.49,6.20,21,29.25,74.3
21.3,34.7,36.27,21.09,21.00,32.86,109.8
23,30.7,38.88,6.27,21.00,29.96,88.1
24.1,35.8,36.03,21.05,21.00,32.83,102.6
24.6,33.9,38.95,17.87,26.55,33.01,164.4
25.2,28,40.27,11.89,22.08,32.99,135
20.9,21.8,40.58,17.90,27.87,33.14,201.4
21.4,27.9,38.6,17.95,23.21,33.16,147.9
16.9,19.3,37.1,20.98,21.00,33.01,125.4
15.5,21.8,38.12,18.19,21.00,32.84,131.3
16.47,27.53,40.08,11.96,21.00,32.07,143.9
15.26,27.5,38.94,12.13,21.00,30.76,141.7
14.59,44.62,36.98,21.01,21.00,32.96,118.4
22.43,29.8,37.6,17.92,22.58,32.90,129.2
20.38,30.8,37.36,17.99,21.05,32.74,122.8
20.75,31.99,39.09,18.00,24.81,33.01,163
22.06,10.33,36.44,20.98,21.00,32.83,116.8
21.43,12.43,37.52,6.16,21.00,29.05,52.6
13,79.15,39.41,17.56,23.86,33.04,154.58
14.56,66.49,36.86,17.24,21.00,32.02,112.7
14.22,67.97,37.79,22.53,25.83,32.96,151.97
24.21,17.38,40.65,5.91,21,30.43,99.19
17.43,41.45,39.18,17.99,25.20,32.74,173.03
18.9,37.46,40.04,18.01,28.75,32.48,203.8
20.87,31.74,40.02,18.02,28.39,32.67,198.89
9.06,44.7,37.48,5.82,21.00,26.67,84.7
9.1,53.3,32.67,20.77,21.00,29.02,100.07
15.45,18.99,40.34,5.91,21.00,28.55,106.2
15.83,21.22,38.99,11.92,21.00,30.53,146.73
13.67,37.85,40.17,6.00,21.00,28.58,101.19
26.53,27.04,37.21,6.01,21,29.73,77.26
27.16,25.16,37.02,11.77,21,31.25,108.88
29.3,18.29,36.39,20.81,22.63,32.98,117.9
30.45,14.45,36.25,20.82,22.7,32.98,115.29
30.55,21.31,37.31,5.85,21,30.18,71.62
32,16.49,36.25,11.78,21.00,30.95,110.45
32.2,16.65,37.13,17.89,22.39,33.18,117.12
36.07,30.82,34.26,20.85,21.00,31.87,87.11
25.37,45.02,38.95,12.51,21.04,32.86,116.9
30.83,30.74,36.26,20.88,27.68,32.73,126.38
28.16,48.3,40.9,17.69,37,33.15,217.14
30.65,40.14,36.62,20.83,25.98,33.32,101.87
31.39,20.71,39.43,22.48,38.67,32.89,243.44
26.02,53.39,39.48,6.09,21,32.53,61.93
26.4,28.74,36.61,20.82,23.17,33.07,120.67
29.87,22.4,35.92,20.84,21,33.03,100.17
28.87,27.23,39.4,6.12,21,31.51,81.83
27.42,29.07,39.17,5.92,21,31.55,80.87
31.96,26.91,36.39,20.83,24.00,33.21,120.57
35.65,22.5,38.27,22.50,38.00,33.05,207.88
35.33,22.37,36.52,20.85,26.70,33.10,127.05
33.77,27.31,38.03,18.58,32.00,32.92,164.07
29.1,32.24,36.42,20.85,24.00,33.13,112.11
37.06,13.43,37.88,17.72,34.24,31.84,194.46
38.75,12.33,37.81,11.97,40.47,28.63,210.13
38.15,14.65,37.63,22.49,36.03,32.84,195.68
37.17,16.24,37.32,22.08,33.73,32.80,176.48
35.91,17.72,37.83,17.71,32.51,32.18,179.28
36.51,16.5,37.56,22.44,33.83,33.00,183.39
36.98,20.33,37.3,21.34,32.96,33.02,166.13
36.15,27.67,36.67,17.51,34.86,31.86,153.66
35.71,29.63,36.63,11.93,38.85,29.55,153.48
37.12,18.69,37.12,5.92,93.42,21.49,331.47
36.48,20.71,37.51,20.83,31.53,33.22,162.73
28.27,31.67,39.65,22.47,39.58,32.97,242.3
34.9,10.86,37.76,17.65,27.40,32.60,163.57
36.26,10.85,37.2,22.11,30.31,32.85,174.54
25.54,66.48,38.3,22.47,36.61,33.23,180.92
18.04,65.53,37.78,22.47,28.20,32.96,157.71
14.88,33.28,39.58,6.00,21.00,28.37,97.75
18.66,47.03,37.32,11.74,21,30.39,121.76
22.2,30.5,39.24,12.02,21,31.89,133.26
30.41,23.21,38.19,20.75,30,33.2,173.85
27.86,37.92,37.33,9,33.99,27.93,140.39
27.05,33.2,37.58,9,25.54,29.71,114.53
28.23,24.91,35.61,15,21,31.72,100.6
23.37,20.51,34.87,18,21,31,102.2
21.01,36.42,33.89,21.74,21,31.17,86.47
21.57,29.8,37.14,22.49,23.87,33.22,123.73
20.31,32.63,36.36,18,21,31.91,112.99
22.94,51.99,37.85,18,21.35,33.75,109.12
19.45,75.22,37.5,9,21,30.39,94.38
23.71,39.31,34.48,21.77,21,31.82,90.46
21.38,41.98,40.47,18,35.27,31.84,236.88
19.65,52.98,39.27,21.67,34,32.68,210.53
19.85,51.37,40.24,9,34,26.63,182.46
28.94,19.15,37.8,21.72,29.84,32.88,174.54
22.39,44.35,40.62,9,21,31.4,136.23
20.37,67.69,36.13,18.58,23.87,32.16,109.28
28.31,26.27,39.99,18,40.39,31.29,250.89
28.01,14.77,39.83,22.39,35.73,32.96,251.5
24.02,58.8,36.71,18.29,53.72,28.50,232.84
23,56.49,37.3,9,29.67,27.88,130.01
31.69,12.68,40.28,11.97,22.32,32.80,156.58
29.69,16.56,40.11,12,21.55,32.98,145.09
27.5,28.09,34.78,21.59,21,32.23,88.48
21.67,58.24,35.04,21.7,21,32.34,86.06
23.91,49.14,35.16,21.68,21,32.58,84.52
19.13,62.48,37.95,12,21,31.54,113.01
16.66,61.13,36.7,9,23.44,28.01,113
17.59,63.9,40.16,12,21,32.55,132.9
17.41,56.67,36.03,17.85,38.36,28.51,193
13.66,86.59,37.1,9,20.98,29.17,98.73
15.1,30.25,37.03,18.12,20.97,32.27,128.1
13.77,34.09,38.38,18,21,32.85,135.83
35.41,13.54,39.66,22.28,40,32.93,265.62
36.19,11.63,35.79,22.27,50,29.31,266.65
29.02,20.2,34.13,11.8,21,29.38,94.93
28.8,32.17,35.22,17.72,30,30.51,140
27.02,34.97,41.14,21.94,42.76,33.01,288.29
27.35,33.51,40.12,21.96,45.53,31.99,285.73
