Tamb,Tdc_in,qdc,wdc,Tdc_out
3,28.5,690,11,11
3,28.5,690,28.636,28.636
3,28.5,690,46.272,46.272
3,28.5,690,63.908,63.908
3,28.5,690,81.544,81.544
3,28.5,690,99.18,99.18
3,28.5,1035,11,11
3,28.5,1035,28.636,28.636
3,28.5,1035,46.272,46.272
3,28.5,1035,63.908,63.908
3,28.5,1035,81.544,81.544
3,28.5,1035,99.18,99.18
3,28.5,1380,11,11
3,28.5,1380,28.636,28.636
3,28.5,1380,46.272,46.272
3,28.5,1380,63.908,63.908
3,28.5,1380,81.544,81.544
3,28.5,1380,99.18,99.18
3,28.5,1725,11,11
3,28.5,1725,28.636,28.636
3,28.5,1725,46.272,46.272
3,28.5,1725,63.908,63.908
3,28.5,1725,81.544,81.544
3,28.5,1725,99.18,99.18
3,28.5,2070,11,11
3,28.5,2070,28.636,28.636
3,28.5,2070,46.272,46.272
3,28.5,2070,63.908,63.908
3,28.5,2070,81.544,81.544
3,28.5,2070,99.18,99.18
3,28.5,2415,11,11
3,28.5,2415,28.636,28.636
3,28.5,2415,46.272,46.272
3,28.5,2415,63.908,63.908
3,28.5,2415,81.544,81.544
3,28.5,2415,99.18,99.18
3,28.5,2760,11,11
3,28.5,2760,28.636,28.636
3,28.5,2760,46.272,46.272
3,28.5,2760,63.908,63.908
3,28.5,2760,81.544,81.544
3,28.5,2760,99.18,99.18
3,33,690,11,11
3,33,690,28.636,28.636
3,33,690,46.272,46.272
3,33,690,63.908,63.908
3,33,690,81.544,81.544
3,33,690,99.18,99.18
3,33,1035,11,11
3,33,1035,28.636,28.636
3,33,1035,46.272,46.272
3,33,1035,63.908,63.908
3,33,1035,81.544,81.544
3,33,1035,99.18,99.18
3,33,1380,11,11
3,33,1380,28.636,28.636
3,33,1380,46.272,46.272
3,33,1380,63.908,63.908
3,33,1380,81.544,81.544
3,33,1380,99.18,99.18
3,33,1725,11,11
3,33,1725,28.636,28.636
3,33,1725,46.272,46.272
3,33,1725,63.908,63.908
3,33,1725,81.544,81.544
3,33,1725,99.18,99.18
3,33,2070,11,11
3,33,2070,28.636,28.636
3,33,2070,46.272,46.272
3,33,2070,63.908,63.908
3,33,2070,81.544,81.544
3,33,2070,99.18,99.18
3,33,2415,11,11
3,33,2415,28.636,28.636
3,33,2415,46.272,46.272
3,33,2415,63.908,63.908
3,33,2415,81.544,81.544
3,33,2415,99.18,99.18
3,33,2760,11,11
3,33,2760,28.636,28.636
3,33,2760,46.272,46.272
3,33,2760,63.908,63.908
3,33,2760,81.544,81.544
3,33,2760,99.18,99.18
10.3333333333333,26.8333333333333,690,11,11
10.3333333333333,26.8333333333333,690,28.636,28.636
10.3333333333333,26.8333333333333,690,46.272,46.272
10.3333333333333,26.8333333333333,690,63.908,63.908
10.3333333333333,26.8333333333333,690,81.544,81.544
10.3333333333333,26.8333333333333,690,99.18,99.18
10.3333333333333,26.8333333333333,1035,11,11
10.3333333333333,26.8333333333333,1035,28.636,28.636
10.3333333333333,26.8333333333333,1035,46.272,46.272
10.3333333333333,26.8333333333333,1035,63.908,63.908
10.3333333333333,26.8333333333333,1035,81.544,81.544
10.3333333333333,26.8333333333333,1035,99.18,99.18
10.3333333333333,26.8333333333333,1380,11,11
10.3333333333333,26.8333333333333,1380,28.636,28.636
10.3333333333333,26.8333333333333,1380,46.272,46.272
10.3333333333333,26.8333333333333,1380,63.908,63.908
10.3333333333333,26.8333333333333,1380,81.544,81.544
10.3333333333333,26.8333333333333,1380,99.18,99.18
10.3333333333333,26.8333333333333,1725,11,11
10.3333333333333,26.8333333333333,1725,28.636,28.636
10.3333333333333,26.8333333333333,1725,46.272,46.272
10.3333333333333,26.8333333333333,1725,63.908,63.908
10.3333333333333,26.8333333333333,1725,81.544,81.544
10.3333333333333,26.8333333333333,1725,99.18,99.18
10.3333333333333,26.8333333333333,2070,11,11
10.3333333333333,26.8333333333333,2070,28.636,28.636
10.3333333333333,26.8333333333333,2070,46.272,46.272
10.3333333333333,26.8333333333333,2070,63.908,63.908
10.3333333333333,26.8333333333333,2070,81.544,81.544
10.3333333333333,26.8333333333333,2070,99.18,99.18
10.3333333333333,26.8333333333333,2415,11,11
10.3333333333333,26.8333333333333,2415,28.636,28.636
10.3333333333333,26.8333333333333,2415,46.272,46.272
10.3333333333333,26.8333333333333,2415,63.908,63.908
10.3333333333333,26.8333333333333,2415,81.544,81.544
10.3333333333333,26.8333333333333,2415,99.18,99.18
10.3333333333333,26.8333333333333,2760,11,11
10.3333333333333,26.8333333333333,2760,28.636,28.636
10.3333333333333,26.8333333333333,2760,46.272,46.272
10.3333333333333,26.8333333333333,2760,63.908,63.908
10.3333333333333,26.8333333333333,2760,81.544,81.544
10.3333333333333,26.8333333333333,2760,99.18,99.18
10.3333333333333,31.3333333333333,690,11,11
10.3333333333333,31.3333333333333,690,28.636,28.636
10.3333333333333,31.3333333333333,690,46.272,46.272
10.3333333333333,31.3333333333333,690,63.908,63.908
10.3333333333333,31.3333333333333,690,81.544,81.544
10.3333333333333,31.3333333333333,690,99.18,99.18
10.3333333333333,31.3333333333333,1035,11,11
10.3333333333333,31.3333333333333,1035,28.636,28.636
10.3333333333333,31.3333333333333,1035,46.272,46.272
10.3333333333333,31.3333333333333,1035,63.908,63.908
10.3333333333333,31.3333333333333,1035,81.544,81.544
10.3333333333333,31.3333333333333,1035,99.18,99.18
10.3333333333333,31.3333333333333,1380,11,11
10.3333333333333,31.3333333333333,1380,28.636,28.636
10.3333333333333,31.3333333333333,1380,46.272,46.272
10.3333333333333,31.3333333333333,1380,63.908,63.908
10.3333333333333,31.3333333333333,1380,81.544,81.544
10.3333333333333,31.3333333333333,1380,99.18,99.18
10.3333333333333,31.3333333333333,1725,11,11
10.3333333333333,31.3333333333333,1725,28.636,28.636
10.3333333333333,31.3333333333333,1725,46.272,46.272
10.3333333333333,31.3333333333333,1725,63.908,63.908
10.3333333333333,31.3333333333333,1725,81.544,81.544
10.3333333333333,31.3333333333333,1725,99.18,99.18
10.3333333333333,31.3333333333333,2070,11,11
10.3333333333333,31.3333333333333,2070,28.636,28.636
10.3333333333333,31.3333333333333,2070,46.272,46.272
10.3333333333333,31.3333333333333,2070,63.908,63.908
10.3333333333333,31.3333333333333,2070,81.544,81.544
10.3333333333333,31.3333333333333,2070,99.18,99.18
10.3333333333333,31.3333333333333,2415,11,11
10.3333333333333,31.3333333333333,2415,28.636,28.636
10.3333333333333,31.3333333333333,2415,46.272,46.272
10.3333333333333,31.3333333333333,2415,63.908,63.908
10.3333333333333,31.3333333333333,2415,81.544,81.544
10.3333333333333,31.3333333333333,2415,99.18,99.18
10.3333333333333,31.3333333333333,2760,11,11
10.3333333333333,31.3333333333333,2760,28.636,28.636
10.3333333333333,31.3333333333333,2760,46.272,46.272
10.3333333333333,31.3333333333333,2760,63.908,63.908
10.3333333333333,31.3333333333333,2760,81.544,81.544
10.3333333333333,31.3333333333333,2760,99.18,99.18
10.3333333333333,35.8333333333333,690,11,11
10.3333333333333,35.8333333333333,690,28.636,28.636
10.3333333333333,35.8333333333333,690,46.272,46.272
10.3333333333333,35.8333333333333,690,63.908,63.908
10.3333333333333,35.8333333333333,690,81.544,81.544
10.3333333333333,35.8333333333333,690,99.18,99.18
10.3333333333333,35.8333333333333,1035,11,11
10.3333333333333,35.8333333333333,1035,28.636,28.636
10.3333333333333,35.8333333333333,1035,46.272,46.272
10.3333333333333,35.8333333333333,1035,63.908,63.908
10.3333333333333,35.8333333333333,1035,81.544,81.544
10.3333333333333,35.8333333333333,1035,99.18,99.18
10.3333333333333,35.8333333333333,1380,11,11
10.3333333333333,35.8333333333333,1380,28.636,28.636
10.3333333333333,35.8333333333333,1380,46.272,46.272
10.3333333333333,35.8333333333333,1380,63.908,63.908
10.3333333333333,35.8333333333333,1380,81.544,81.544
10.3333333333333,35.8333333333333,1380,99.18,99.18
10.3333333333333,35.8333333333333,1725,11,11
10.3333333333333,35.8333333333333,1725,28.636,28.636
10.3333333333333,35.8333333333333,1725,46.272,46.272
10.3333333333333,35.8333333333333,1725,63.908,63.908
10.3333333333333,35.8333333333333,1725,81.544,81.544
10.3333333333333,35.8333333333333,1725,99.18,99.18
10.3333333333333,35.8333333333333,2070,11,11
10.3333333333333,35.8333333333333,2070,28.636,28.636
10.3333333333333,35.8333333333333,2070,46.272,46.272
10.3333333333333,35.8333333333333,2070,63.908,63.908
10.3333333333333,35.8333333333333,2070,81.544,81.544
10.3333333333333,35.8333333333333,2070,99.18,99.18
10.3333333333333,35.8333333333333,2415,11,11
10.3333333333333,35.8333333333333,2415,28.636,28.636
10.3333333333333,35.8333333333333,2415,46.272,46.272
10.3333333333333,35.8333333333333,2415,63.908,63.908
10.3333333333333,35.8333333333333,2415,81.544,81.544
10.3333333333333,35.8333333333333,2415,99.18,99.18
10.3333333333333,35.8333333333333,2760,11,11
10.3333333333333,35.8333333333333,2760,28.636,28.636
10.3333333333333,35.8333333333333,2760,46.272,46.272
10.3333333333333,35.8333333333333,2760,63.908,63.908
10.3333333333333,35.8333333333333,2760,81.544,81.544
10.3333333333333,35.8333333333333,2760,99.18,99.18
10.3333333333333,40.3333333333333,690,11,11
10.3333333333333,40.3333333333333,690,28.636,28.636
10.3333333333333,40.3333333333333,690,46.272,46.272
10.3333333333333,40.3333333333333,690,63.908,63.908
10.3333333333333,40.3333333333333,690,81.544,81.544
10.3333333333333,40.3333333333333,690,99.18,99.18
10.3333333333333,40.3333333333333,1035,11,11
10.3333333333333,40.3333333333333,1035,28.636,28.636
10.3333333333333,40.3333333333333,1035,46.272,46.272
10.3333333333333,40.3333333333333,1035,63.908,63.908
10.3333333333333,40.3333333333333,1035,81.544,81.544
10.3333333333333,40.3333333333333,1035,99.18,99.18
10.3333333333333,40.3333333333333,1380,11,11
10.3333333333333,40.3333333333333,1380,28.636,28.636
10.3333333333333,40.3333333333333,1380,46.272,46.272
10.3333333333333,40.3333333333333,1380,63.908,63.908
10.3333333333333,40.3333333333333,1380,81.544,81.544
10.3333333333333,40.3333333333333,1380,99.18,99.18
10.3333333333333,40.3333333333333,1725,11,11
10.3333333333333,40.3333333333333,1725,28.636,28.636
10.3333333333333,40.3333333333333,1725,46.272,46.272
10.3333333333333,40.3333333333333,1725,63.908,63.908
10.3333333333333,40.3333333333333,1725,81.544,81.544
10.3333333333333,40.3333333333333,1725,99.18,99.18
10.3333333333333,40.3333333333333,2070,11,11
10.3333333333333,40.3333333333333,2070,28.636,28.636
10.3333333333333,40.3333333333333,2070,46.272,46.272
10.3333333333333,40.3333333333333,2070,63.908,63.908
10.3333333333333,40.3333333333333,2070,81.544,81.544
10.3333333333333,40.3333333333333,2070,99.18,99.18
10.3333333333333,40.3333333333333,2415,11,11
10.3333333333333,40.3333333333333,2415,28.636,28.636
10.3333333333333,40.3333333333333,2415,46.272,46.272
10.3333333333333,40.3333333333333,2415,63.908,63.908
10.3333333333333,40.3333333333333,2415,81.544,81.544
10.3333333333333,40.3333333333333,2415,99.18,99.18
10.3333333333333,40.3333333333333,2760,11,11
10.3333333333333,40.3333333333333,2760,28.636,28.636
10.3333333333333,40.3333333333333,2760,46.272,46.272
10.3333333333333,40.3333333333333,2760,63.908,63.908
10.3333333333333,40.3333333333333,2760,81.544,81.544
10.3333333333333,40.3333333333333,2760,99.18,99.18
17.6666666666667,25.1666666666667,690,11,11
17.6666666666667,25.1666666666667,690,28.636,28.636
17.6666666666667,25.1666666666667,690,46.272,46.272
17.6666666666667,25.1666666666667,690,63.908,63.908
17.6666666666667,25.1666666666667,690,81.544,81.544
17.6666666666667,25.1666666666667,690,99.18,99.18
17.6666666666667,25.1666666666667,1035,11,11
17.6666666666667,25.1666666666667,1035,28.636,28.636
17.6666666666667,25.1666666666667,1035,46.272,46.272
17.6666666666667,25.1666666666667,1035,63.908,63.908
17.6666666666667,25.1666666666667,1035,81.544,81.544
17.6666666666667,25.1666666666667,1035,99.18,99.18
17.6666666666667,25.1666666666667,1380,11,11
17.6666666666667,25.1666666666667,1380,28.636,28.636
17.6666666666667,25.1666666666667,1380,46.272,46.272
17.6666666666667,25.1666666666667,1380,63.908,63.908
17.6666666666667,25.1666666666667,1380,81.544,81.544
17.6666666666667,25.1666666666667,1380,99.18,99.18
17.6666666666667,25.1666666666667,1725,11,11
17.6666666666667,25.1666666666667,1725,28.636,28.636
17.6666666666667,25.1666666666667,1725,46.272,46.272
17.6666666666667,25.1666666666667,1725,63.908,63.908
17.6666666666667,25.1666666666667,1725,81.544,81.544
17.6666666666667,25.1666666666667,1725,99.18,99.18
17.6666666666667,25.1666666666667,2070,11,11
17.6666666666667,25.1666666666667,2070,28.636,28.636
17.6666666666667,25.1666666666667,2070,46.272,46.272
17.6666666666667,25.1666666666667,2070,63.908,63.908
17.6666666666667,25.1666666666667,2070,81.544,81.544
17.6666666666667,25.1666666666667,2070,99.18,99.18
17.6666666666667,25.1666666666667,2415,11,11
17.6666666666667,25.1666666666667,2415,28.636,28.636
17.6666666666667,25.1666666666667,2415,46.272,46.272
17.6666666666667,25.1666666666667,2415,63.908,63.908
17.6666666666667,25.1666666666667,2415,81.544,81.544
17.6666666666667,25.1666666666667,2415,99.18,99.18
17.6666666666667,25.1666666666667,2760,11,11
17.6666666666667,25.1666666666667,2760,28.636,28.636
17.6666666666667,25.1666666666667,2760,46.272,46.272
17.6666666666667,25.1666666666667,2760,63.908,63.908
17.6666666666667,25.1666666666667,2760,81.544,81.544
17.6666666666667,25.1666666666667,2760,99.18,99.18
17.6666666666667,29.6666666666667,690,11,11
17.6666666666667,29.6666666666667,690,28.636,28.636
17.6666666666667,29.6666666666667,690,46.272,46.272
17.6666666666667,29.6666666666667,690,63.908,63.908
17.6666666666667,29.6666666666667,690,81.544,81.544
17.6666666666667,29.6666666666667,690,99.18,99.18
17.6666666666667,29.6666666666667,1035,11,11
17.6666666666667,29.6666666666667,1035,28.636,28.636
17.6666666666667,29.6666666666667,1035,46.272,46.272
17.6666666666667,29.6666666666667,1035,63.908,63.908
17.6666666666667,29.6666666666667,1035,81.544,81.544
17.6666666666667,29.6666666666667,1035,99.18,99.18
17.6666666666667,29.6666666666667,1380,11,11
17.6666666666667,29.6666666666667,1380,28.636,28.636
17.6666666666667,29.6666666666667,1380,46.272,46.272
17.6666666666667,29.6666666666667,1380,63.908,63.908
17.6666666666667,29.6666666666667,1380,81.544,81.544
17.6666666666667,29.6666666666667,1380,99.18,99.18
17.6666666666667,29.6666666666667,1725,11,11
17.6666666666667,29.6666666666667,1725,28.636,28.636
17.6666666666667,29.6666666666667,1725,46.272,46.272
17.6666666666667,29.6666666666667,1725,63.908,63.908
17.6666666666667,29.6666666666667,1725,81.544,81.544
17.6666666666667,29.6666666666667,1725,99.18,99.18
17.6666666666667,29.6666666666667,2070,11,11
17.6666666666667,29.6666666666667,2070,28.636,28.636
17.6666666666667,29.6666666666667,2070,46.272,46.272
17.6666666666667,29.6666666666667,2070,63.908,63.908
17.6666666666667,29.6666666666667,2070,81.544,81.544
17.6666666666667,29.6666666666667,2070,99.18,99.18
17.6666666666667,29.6666666666667,2415,11,11
17.6666666666667,29.6666666666667,2415,28.636,28.636
17.6666666666667,29.6666666666667,2415,46.272,46.272
17.6666666666667,29.6666666666667,2415,63.908,63.908
17.6666666666667,29.6666666666667,2415,81.544,81.544
17.6666666666667,29.6666666666667,2415,99.18,99.18
17.6666666666667,29.6666666666667,2760,11,11
17.6666666666667,29.6666666666667,2760,28.636,28.636
17.6666666666667,29.6666666666667,2760,46.272,46.272
17.6666666666667,29.6666666666667,2760,63.908,63.908
17.6666666666667,29.6666666666667,2760,81.544,81.544
17.6666666666667,29.6666666666667,2760,99.18,99.18
17.6666666666667,34.1666666666667,690,11,11
17.6666666666667,34.1666666666667,690,28.636,28.636
17.6666666666667,34.1666666666667,690,46.272,46.272
17.6666666666667,34.1666666666667,690,63.908,63.908
17.6666666666667,34.1666666666667,690,81.544,81.544
17.6666666666667,34.1666666666667,690,99.18,99.18
17.6666666666667,34.1666666666667,1035,11,11
17.6666666666667,34.1666666666667,1035,28.636,28.636
17.6666666666667,34.1666666666667,1035,46.272,46.272
17.6666666666667,34.1666666666667,1035,63.908,63.908
17.6666666666667,34.1666666666667,1035,81.544,81.544
17.6666666666667,34.1666666666667,1035,99.18,99.18
17.6666666666667,34.1666666666667,1380,11,11
17.6666666666667,34.1666666666667,1380,28.636,28.636
17.6666666666667,34.1666666666667,1380,46.272,46.272
17.6666666666667,34.1666666666667,1380,63.908,63.908
17.6666666666667,34.1666666666667,1380,81.544,81.544
17.6666666666667,34.1666666666667,1380,99.18,99.18
17.6666666666667,34.1666666666667,1725,11,11
17.6666666666667,34.1666666666667,1725,28.636,28.636
17.6666666666667,34.1666666666667,1725,46.272,46.272
17.6666666666667,34.1666666666667,1725,63.908,63.908
17.6666666666667,34.1666666666667,1725,81.544,81.544
17.6666666666667,34.1666666666667,1725,99.18,99.18
17.6666666666667,34.1666666666667,2070,11,11
17.6666666666667,34.1666666666667,2070,28.636,28.636
17.6666666666667,34.1666666666667,2070,46.272,46.272
17.6666666666667,34.1666666666667,2070,63.908,63.908
17.6666666666667,34.1666666666667,2070,81.544,81.544
17.6666666666667,34.1666666666667,2070,99.18,99.18
17.6666666666667,34.1666666666667,2415,11,11
17.6666666666667,34.1666666666667,2415,28.636,28.636
17.6666666666667,34.1666666666667,2415,46.272,46.272
17.6666666666667,34.1666666666667,2415,63.908,63.908
17.6666666666667,34.1666666666667,2415,81.544,81.544
17.6666666666667,34.1666666666667,2415,99.18,99.18
17.6666666666667,34.1666666666667,2760,11,11
17.6666666666667,34.1666666666667,2760,28.636,28.636
17.6666666666667,34.1666666666667,2760,46.272,46.272
17.6666666666667,34.1666666666667,2760,63.908,63.908
17.6666666666667,34.1666666666667,2760,81.544,81.544
